City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,north battleford,52.7834,-108.2847,13.05,54,100,7.2,CA,1728096845
84,bengkulu,-3.8004,102.2655,28.1,69,100,1.56,ID,1728096846
85,invercargill,-46.4,168.35,15.57,83,62,4.02,NZ,1728096848
86,asahikawa,43.7678,142.3703,17.56,72,40,5.66,JP,1728096849
87,port mathurin,-19.6833,63.4167,22.71,89,86,9.35,MU,1728096851
88,jamestown,42.097,-79.2353,13.9,72,100,3.09,US,1728096852
89,bilibino,68.0546,166.4372,-4.24,96,100,3.16,RU,1728096853
90,grytviken,-54.2811,-36.5092,-0.7,97,100,5.23,GS,1728096855
91,conde,-7.2597,-34.9075,23.7,88,75,2.06,BR,1728096856
92,kourou,5.1552,-52.6478,26.04,86,37,3.59,GF,1728096858
93,sinabang,2.4803,96.3801,24.08,96,100,0.9,ID,1728096859
94,amahai,-3.3333,128.9167,27.79,66,93,2.7,ID,1728096861
95,westport,41.1415,-73.3579,18.23,85,73,0.89,US,1728096862
96,aasiaat,68.7098,-52.8699,-1.21,84,44,1.56,GL,1728096864
97,mermoz boabab,14.7065,-17.4758,27.19,79,96,2.07,SN,1728096865
98,wanning,18.8003,110.3967,27.74,64,10,5.15,CN,1728096866
99,lerwick,60.1545,-1.1494,11.37,93,100,5.14,GB,1728096868
100,georgetown,5.4112,100.3354,28.96,78,20,3.6,MY,1728096869
101,ribeira grande,38.5167,-28.7,20.99,93,100,3.58,PT,1728096871
102,baardheere,2.3446,42.2764,23.87,77,31,6.19,SO,1728096872
103,itoman,26.1247,127.6694,30.21,79,75,4.12,JP,1728096874
104,antofagasta,-23.65,-70.4,15.6,78,54,2.32,CL,1728096877
105,badger,64.8,-147.5333,12.14,33,40,4.12,US,1728096878
106,filey,54.21,-0.2892,9.32,89,100,3.58,GB,1728096880
107,asia,9.5506,122.5164,28.14,75,97,1.96,PH,1728096881
108,iwanai,42.9744,140.5089,19.04,51,1,2.47,JP,1728096882
109,kilinochchi,9.3961,80.3982,27.12,78,100,2.36,LK,1728096884
110,kuraymah,18.55,31.85,29.94,18,6,4.85,SD,1728096885
111,hawaiian paradise park,19.5933,-154.9731,27.73,75,20,4.12,US,1728096913
112,rawlins,41.7911,-107.2387,20.2,10,0,2.57,US,1728096916
113,mitu,1.1983,-70.1733,22.17,97,89,0.94,CO,1728096917
114,el granada,37.5027,-122.4694,22.88,66,0,8.75,US,1728096919
115,udachny,66.4167,112.4,1.04,74,49,5.99,RU,1728096920
116,blackmans bay,-43.0167,147.3167,17.07,46,96,2.24,AU,1728096922
117,taoudenni,22.6783,-3.9836,33.06,14,17,2.87,ML,1728096923
118,thompson,55.7435,-97.8558,-0.91,86,75,1.54,CA,1728096925
119,lebu,-37.6167,-73.65,8.08,91,30,3.47,CL,1728096926
120,chonchi,-42.6128,-73.8092,5.62,96,94,1.25,CL,1728096927
121,ilulissat,69.2167,-51.1,0.01,80,94,0.0,GL,1728096929
122,lensk,60.7253,114.9278,2.71,86,99,4.53,RU,1728096932
123,minas de marcona,-15.2119,-75.1103,15.38,70,52,1.74,PE,1728096933
124,hadibu,12.65,54.0333,26.35,82,97,3.63,YE,1728096935
125,wakkanai,45.4094,141.6739,17.99,68,40,3.09,JP,1728096936
126,souillac,-20.5167,57.5167,22.21,73,75,7.2,MU,1728096938
127,cottonwood,34.7392,-112.0099,28.41,16,45,3.21,US,1728096812
128,bucerias,20.75,-105.3333,27.16,87,100,0.8,MX,1728096942
129,manacapuru,-3.2997,-60.6206,26.9,68,44,1.8,BR,1728096944
130,qaqortoq,60.7167,-46.0333,2.8,60,0,1.69,GL,1728096947
131,prince rupert,54.3161,-130.3201,9.83,87,98,7.2,CA,1728096768
132,sitka,57.0531,-135.33,11.94,66,75,2.57,US,1728096949
133,vernon,50.2581,-119.2691,15.74,38,73,2.57,CA,1728096951
